date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:14	15603/15603	---M--	200	added ('OK')	image/png	etag:%2221c25e33d26b32f9764379e757f355c3%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec199b_Lock-Square-Dial-Pad--Streamline-Nova.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec199b_Lock-Square-Dial-Pad--Streamline-Nova.png	(from https://www.designjoy.co/)
09:33:15	15041/15041	---M--	200	added ('OK')	image/png	etag:%2215aa6a7448773d6782d6c79c260aa657%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec1997_Flash-Enable-Allow-1--Streamline-Nova.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec1997_Flash-Enable-Allow-1--Streamline-Nova.png	(from https://www.designjoy.co/)
09:33:15	437322/437322	---M--	200	added ('OK')	image/png	etag:%22ce35788c90f28995e21ec007278031db%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec196c_card.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec196c_card.png	(from https://www.designjoy.co/)
09:33:16	16047/16047	---M--	200	added ('OK')	image/png	etag:%22d96d3240d1c78941a56c744fb35e0004%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec199f_Resize-Expand--Streamline-Nova.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec199f_Resize-Expand--Streamline-Nova.png	(from https://www.designjoy.co/)
09:33:16	24110/24110	---M--	200	added ('OK')	image/png	etag:%228d2fea30ced456f0e57a035e5fee9012%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec199d_Star--Streamline-Nova.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec199d_Star--Streamline-Nova.png	(from https://www.designjoy.co/)
09:33:17	33666/33666	---M--	200	added ('OK')	image/png	etag:%222e1ff0db7a78a2f672cd284e43bdf94e%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19bd_Group%201171274555.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19bd_Group%201171274555.png	(from https://www.designjoy.co/)
09:33:17	28679/28679	---M--	200	added ('OK')	image/png	etag:%224449e92c85c5b19907e65d9eb310ff3f%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19a1_Touch-Id--Streamline-Nova.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19a1_Touch-Id--Streamline-Nova.png	(from https://www.designjoy.co/)
09:33:18	102980/102980	---M--	200	added ('OK')	image/png	etag:%2286f11d457ecea28d16284cbdeb9e9f2b%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19ea_Group%201171274558.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19ea_Group%201171274558.png	(from https://www.designjoy.co/)
09:33:18	23396/23396	---M--	200	added ('OK')	image/png	etag:%225284da2e1b2d58ed94c585798d0962c5%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19ee_Group%201171274560.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19ee_Group%201171274560.png	(from https://www.designjoy.co/)
09:33:20	351252/351252	---M--	200	added ('OK')	image/png	etag:%22298be9bcf392617fbc9fb31ca50dbbd8%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19de_Group%201171274563.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19de_Group%201171274563.png	(from https://www.designjoy.co/)
09:33:24	696963/696963	---M--	200	added ('OK')	image/png	etag:%2252712c6b4f7db7538061daed47b09219%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19e6_Group%201171274559.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19e6_Group%201171274559.png	(from https://www.designjoy.co/)
09:33:25	692025/692025	---M--	200	added ('OK')	image/png	etag:%228c1206777bbc5f4b0484e1a6ed046ce6%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19e2_Group%201171274561.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19e2_Group%201171274561.png	(from https://www.designjoy.co/)
09:33:28	573873/573873	---M--	200	added ('OK')	image/png	etag:%222169d3fbc1e54a3b3f48bd3889124a9c%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19da_Group%201171274562.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19da_Group%201171274562.png	(from https://www.designjoy.co/)
09:33:29	85288/85288	---M--	200	added ('OK')	image/png	etag:%22314480ed56a1c11cd4cac8f445a08342%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19b9_Group%2010.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19b9_Group%2010.png	(from https://www.designjoy.co/)
09:33:30	10127/10127	---M--	200	added ('OK')	image/png	etag:%2254d2f588100c5b3c5942fb486ea574ce%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19bb_Send-Email--Streamline-Ultimate.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19bb_Send-Email--Streamline-Ultimate.png	(from https://www.designjoy.co/)
09:33:34	87460/87460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22715145a75405f8ad852ac89bec33d463%22	https://app.cal.com/embed/embed.js	D:/My%20Web%20Sites/inspo3/app.cal.com/embed/embed.js	(from https://www.designjoy.co/)
09:33:37	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5837424ae11409586f837994	D:/My%20Web%20Sites/inspo3/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c80c42.js	(from https://www.designjoy.co/)
09:33:40	41429/41429	---MCZ	200	added ('OK')	text/javascript	etag:W/%226d1d67fe2715f25c2fd98a9011d8ea67%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.36b8fb49256177c8.js	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.36b8fb49256177c8.js	(from https://www.designjoy.co/)
09:33:40	2234489/2234489	---M--	200	added ('OK')	image/png	etag:%229086b7d8a4f70d0eacd2971630bc9397%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19a8_Group%201171274554.png	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/678548430d58f4cbecec19a8_Group%201171274554.png	(from https://www.designjoy.co/)
09:33:42	40501/40501	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a767efde05382f08a186a51755c7b52d%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.64554273d6187735.js	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.64554273d6187735.js	(from https://www.designjoy.co/)
09:33:44	177140/177140	---MCZ	200	added ('OK')	text/javascript	etag:W/%22db9c33d34bfc21bc1ddffa5db56614c8%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.4928c134fa61d767.js	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.4928c134fa61d767.js	(from https://www.designjoy.co/)
09:33:45	304688/304688	---MCZ	200	added ('OK')	text/javascript	etag:W/%22da088a2f2278777af01bbceedc604c81%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.8208d3e53b97e3c7.js	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.schunk.8208d3e53b97e3c7.js	(from https://www.designjoy.co/)
09:33:46	26086/26086	---MCZ	200	added ('OK')	text/javascript	etag:W/%229f6be3f6dbf8d32599a745df36c715f5%22	https://cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.5011d3a6.da6bd147aa9ec596.js	D:/My%20Web%20Sites/inspo3/cdn.prod.website-files.com/5837424ae11409586f837994/js/designjoy.5011d3a6.da6bd147aa9ec596.js	(from https://www.designjoy.co/)
09:33:49	124740/124740	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-1e744%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.2/js/swiper.min.js	D:/My%20Web%20Sites/inspo3/cdnjs.cloudflare.com/ajax/libs/Swiper/4.4.2/js/swiper.min.js	(from https://www.designjoy.co/)
09:33:50	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/t	D:/My%20Web%20Sites/inspo3/www.designjoy.co/t	(from https://connect.facebook.net/en_US/fbevents.js)
09:33:52	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/e	D:/My%20Web%20Sites/inspo3/www.designjoy.co/e	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:22	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Mar%202026%2004:33:51%20GMT	https://www.designjoy.co/signals/config/	D:/My%20Web%20Sites/inspo3/www.designjoy.co/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:28	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Mar%202026%2004:33:56%20GMT	https://www.designjoy.co/signals/plugins/	D:/My%20Web%20Sites/inspo3/www.designjoy.co/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:30	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/t.resolvedLink	D:/My%20Web%20Sites/inspo3/www.designjoy.co/t.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:31	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/o	D:/My%20Web%20Sites/inspo3/www.designjoy.co/o	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:32	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/signals/iwl.js	D:/My%20Web%20Sites/inspo3/www.designjoy.co/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:34	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/signals/iwl.js?pixel_id=	D:/My%20Web%20Sites/inspo3/www.designjoy.co/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:34	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2012%20Mar%202026%2004:33:04%20GMT	https://calendly.com/assets/external/widget.css	D:/My%20Web%20Sites/inspo3/calendly.com/assets/external/widget.css	(from https://www.designjoy.co/)
09:34:35	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/n.dl	D:/My%20Web%20Sites/inspo3/www.designjoy.co/n.dl	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:36	4144/4144	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/n.rl	D:/My%20Web%20Sites/inspo3/www.designjoy.co/n.rl	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:36	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2012%20Mar%202026%2004:33:08%20GMT	https://calendly.com/assets/external/widget.js	D:/My%20Web%20Sites/inspo3/calendly.com/assets/external/widget.js	(from https://www.designjoy.co/)
09:34:36	2461/2461	---MCZ	200	added ('OK')	text/css	etag:W/%22fff8067a661e39cbaa9c1c587f676d90%22	https://assets.calendly.com/assets/external/widget.css	D:/My%20Web%20Sites/inspo3/calendly.com/assets/external/widget.css	(from https://www.designjoy.co/)
09:34:37	2017/2017	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/signals/config	D:/My%20Web%20Sites/inspo3/www.designjoy.co/signals/config	(from https://www.designjoy.co/signals/config/)
09:34:37	2017/2017	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/signals/plugins	D:/My%20Web%20Sites/inspo3/www.designjoy.co/signals/plugins	(from https://www.designjoy.co/signals/plugins/)
09:34:37	11438/11438	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ef3bf711963c747494cae07900aacd7c%22	https://assets.calendly.com/assets/external/widget.js	D:/My%20Web%20Sites/inspo3/calendly.com/assets/external/widget.js	(from https://www.designjoy.co/)
09:34:37	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Mar%202026%2004:34:26%20GMT	https://www.designjoy.co/schema.org/	D:/My%20Web%20Sites/inspo3/www.designjoy.co/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
09:34:37	2017/2017	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22535873e2ef522d84c412bc4e24a68b8d%22	https://www.designjoy.co/schema.org	D:/My%20Web%20Sites/inspo3/www.designjoy.co/schema.org	(from https://www.designjoy.co/schema.org/)
09:34:38	327/327	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2244865ae2d3f410c21f911d2c5e8bfdd2%22	https://assets.calendly.com/assets/external/close-icon.svg	D:/My%20Web%20Sites/inspo3/assets.calendly.com/assets/external/close-icon.svg	(from https://assets.calendly.com/assets/external/widget.css)
